"FFQ0063.Code.or.Value","FFQ0063.Value.Description","FFQ0063.Count","FFQ0063.Cumulative","FFQ0063.Skip.to.Item"
1,"never",440,440,"FFQ0064"
2,"1-6 times per year",744,1184,""
3,"7-11 times per year",769,1953,""
4,"1 time per month",912,2865,""
5,"2-3 times per month",1628,4493,""
6,"1 time per week",848,5341,""
7,"2 times per week",572,5913,""
8,"3-4 times per week",271,6184,""
9,"5-6 times per week",79,6263,""
10,"1 time per day",33,6296,""
11,"2 or more times per day",29,6325,""
88,"Blank",117,6442,""
99,"Error",30,6472,""
