"OHX06CTC.Code.or.Value","OHX06CTC.Value.Description","OHX06CTC.Count","OHX06CTC.Cumulative","OHX06CTC.Skip.to.Item"
"D","Sound primary tooth",1933,1933,NA
"E","Missing due to dental disease",135,2068,NA
"J","Permanent root tip is present but no restorative replacement is present",52,2120,NA
"K","Primary tooth with surface condition (s)",45,2165,NA
"M","Missing due to other causes",16,2181,NA
"P","Missing due to dental disease but replaced by a removable restoration",563,2744,NA
"Q","Missing due to other causes but replaced by a removable restoration",1,2745,NA
"R","Missing due to dental disease,  but replaced by a fixed restoration",17,2762,NA
"S","Sound permanent tooth",4842,7604,NA
"T","Permanent root tip is present but a restorative replacement is present",4,7608,NA
"U","Unerupted",165,7773,NA
"X","Missing due to other causes, but replaced by a fixed restoration",3,7776,NA
"Y","Tooth present, condition cannot be assessed",183,7959,NA
"Z","Permanent tooth with surface condition (s)",482,8441,NA
"< blank >","Missing",515,8956,NA
