"FFQ0108.Code.or.Value","FFQ0108.Value.Description","FFQ0108.Count","FFQ0108.Cumulative","FFQ0108.Skip.to.Item"
1,"never",2196,2196,NA
2,"1-6 times per year",830,3026,NA
3,"7-11 times per year",535,3561,NA
4,"1 time per month",482,4043,NA
5,"2-3 times per month",729,4772,NA
6,"1 time per week",343,5115,NA
7,"2 times per week",471,5586,NA
8,"3-4 times per week",417,6003,NA
9,"5-6 times per week",118,6121,NA
10,"1 time per day",146,6267,NA
11,"2 or more times per day",37,6304,NA
88,"Blank",139,6443,NA
99,"Error",29,6472,NA
