"OHX26CTC.Code.or.Value","OHX26CTC.Value.Description","OHX26CTC.Count","OHX26CTC.Cumulative","OHX26CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",3,3,NA
"D","Sound primary tooth",1282,1285,NA
"E","Missing due to dental disease",96,1381,NA
"F","Permanent tooth with a restored surface condition",89,1470,NA
"J","Permanent root tip is present but no restorative replacement is present",20,1490,NA
"K","Primary tooth with a dental carious surface condition",0,1490,NA
"M","Missing due to other causes",9,1499,NA
"P","Missing due to dental disease but replaced by a removable restoration",382,1881,NA
"Q","Missing due to other causes but replaced by a removable restoration",20,1901,NA
"R","Missing due to dental disease but replaced by a fixed restoration",22,1923,NA
"S","Sound permanent tooth",6763,8686,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8687,NA
"U","Unerupted",101,8788,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,8789,NA
"Y","Tooth present, condition cannot be assessed",28,8817,NA
"Z","Permanent tooth with a dental carious surface condition",41,8858,NA
"< blank >","Missing",307,9165,NA
