"OHX03CSC.Code.or.Value","OHX03CSC.Value.Description","OHX03CSC.Count","OHX03CSC.Cumulative","OHX03CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1836,1836,NA
"0","Lingual surface caries",17,1853,NA
"1","Occlusal/incisal caries",142,1995,NA
"2","Facial surface caries",1,1996,NA
"3","Mesial caries",10,2006,NA
"4","Distal caries",3,2009,NA
"5","Lingual surface restoration",49,2058,NA
"6","Occlusal/incisal restoration",606,2664,NA
"7","Facial surface restoration",2,2666,NA
"8","Mesial restoration",2,2668,NA
"9","Distal restoration",0,2668,NA
"< blank >","Missing",6179,8847,NA
