"DR2FS.Code.or.Value","DR2FS.Value.Description","DR2FS.Count","DR2FS.Cumulative","DR2FS.Skip.to.Item"
"1","Store",97080,97080,NA
"2","Restaurant with waiter/waitress",6327,103407,NA
"3","Restaurant fast food/pizza",6968,110375,NA
"4","Bar/tavern/lounge",201,110576,NA
"5","Restaurant no additional information",16,110592,NA
"6","Cafeteria not at school",907,111499,NA
"7","Cafeteria at school",4010,115509,NA
"8","Child care center",239,115748,NA
"9","Family/adult day care center",85,115833,NA
"10","Soup kitchen/shelter/food pantry",12,115845,NA
"11","Meals on Wheels",62,115907,NA
"12","Community food program - other",96,116003,NA
"13","Community program no additional information",12,116015,NA
"14","Vending machine",312,116327,NA
"15","Common coffee pot or snack tray",469,116796,NA
"16","From someone else/gift",3025,119821,NA
"17","Mail order purchase",257,120078,NA
"18","Residential dining facility",120,120198,NA
"19","Grown or caught by you or someone you know",753,120951,NA
"20","Fish caught by you or someone you know",33,120984,NA
"24","Sport, recreation, or entertainment facility",433,121417,NA
"25","Street vendor, vending truck",269,121686,NA
"26","Fundraiser sales",128,121814,NA
"91","Other, specify",0,121814,NA
"99","Don't know",33,121847,NA
".","Missing",7294,129141,NA
