"PFQ063D.Code.or.Value","PFQ063D.Value.Description","PFQ063D.Count","PFQ063D.Cumulative","PFQ063D.Skip.to.Item"
"10","Arthritis/rheumatism",14,14,NA
"11","Back or neck problem",7,21,NA
"12","Birth defect",2,23,NA
"13","Cancer",3,26,NA
"14","Depression/anxiety/emotional problem",19,45,NA
"15","Other developmental problem (such as cerebral palsy)",0,45,NA
"16","Diabetes",23,68,NA
"17","Fractures, bone/joint injury",38,106,NA
"18","Hearing problem",19,125,NA
"19","Heart problem",44,169,NA
"20","Hypertension/high blood pressure",95,264,NA
"21","Lung/breathing problem",32,296,NA
"22","Mental retardation",0,296,NA
"23","Other injury",4,300,NA
"24","Senility",0,300,NA
"25","Stroke problem",15,315,NA
"26","Vision/problem seeing",51,366,NA
"27","Weight problem",36,402,NA
"28","Other impairment/problem",32,434,NA
"77","Refused",0,434,NA
"99","Don't know",0,434,NA
".","Missing",7916,8350,NA
