"OHX28CSC.Code.or.Value","OHX28CSC.Value.Description","OHX28CSC.Count","OHX28CSC.Cumulative","OHX28CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",680,680,NA
"0","Lingual surface caries",1,681,NA
"1","Occlusal/incisal caries",47,728,NA
"2","Facial surface caries",17,745,NA
"3","Mesial caries",7,752,NA
"4","Distal caries",47,799,NA
"5","Lingual surface restoration",0,799,NA
"6","Occlusal/incisal restoration",253,1052,NA
"7","Facial surface restoration",41,1093,NA
"8","Mesial restoration",0,1093,NA
"9","Distal restoration",3,1096,NA
"< blank >","Missing",7751,8847,NA
