"DSD120U.Code.or.Value","DSD120U.Value.Description","DSD120U.Count","DSD120U.Cumulative","DSD120U.Skip.to.Item"
"1","Tablets, capsules, pills, caplets, softgels, gelcaps",6439,6439,NA
"2","Droppers",53,6492,NA
"3","Drops",30,6522,NA
"4","Fluid Ounces",16,6538,NA
"5","Injections/shots",3,6541,NA
"6","Lozenges",29,6570,NA
"7","Milliliters",21,6591,NA
"8","Packages",16,6607,NA
"9","Packets",17,6624,NA
"10","Powder/granules",10,6634,NA
"11","Tablespoons",160,6794,NA
"12","Teaspoons",115,6909,NA
"13","Wafers",4,6913,NA
"14","Weight ounces",2,6915,NA
"15","Can",0,6915,NA
"16","Grams",1,6916,NA
"17","Dots",0,6916,NA
"18","Cups",2,6918,NA
"19","Spray/squirts",0,6918,NA
"20","Chews/chewables",5,6923,NA
"21","Scoop",7,6930,NA
"22","CC",1,6931,NA
"23","Capful",2,6933,NA
"24","Mg",0,6933,NA
"25","Units",1,6934,NA
"26","Gulp",1,6935,NA
"77","Refused",0,6935,NA
"99","Don't know",0,6935,NA
".","Missing",704,7639,NA
