"MCQ230B.Code.or.Value","MCQ230B.Value.Description","MCQ230B.Count","MCQ230B.Cumulative","MCQ230B.Skip.to.Item"
"10","Bladder",3,3,NA
"11","Blood",0,3,NA
"12","Bone",0,3,NA
"13","Brain",0,3,NA
"14","Breast",3,6,NA
"15","Cervix (cervical)",2,8,NA
"16","Colon",6,14,NA
"17","Esophagus (esophageal)",0,14,NA
"18","Gallbladder",0,14,NA
"19","Kidney",2,16,NA
"20","Larynx/ windpipe",0,16,NA
"21","Leukemia",1,17,NA
"22","Liver",0,17,NA
"23","Lung",4,21,NA
"24","Lymphoma/Hodgkin's disease",0,21,NA
"25","Melanoma",1,22,NA
"26","Mouth/tongue/lip",0,22,NA
"27","Nervous system",0,22,NA
"28","Ovary (ovarian)",0,22,NA
"29","Pancreas (pancreatic)",1,23,NA
"30","Prostate",9,32,NA
"31","Rectum (rectal)",0,32,NA
"32","Skin (non-melanoma)",3,35,NA
"33","Skin (don't know what kind)",5,40,NA
"34","Soft tissue (muscle or fat)",1,41,NA
"35","Stomach",1,42,NA
"36","Testis (testicular)",0,42,NA
"37","Thyroid",1,43,NA
"38","Uterus (uterine)",5,48,NA
"39","Other",8,56,NA
"66","More than 3 kinds",0,56,NA
"77","Refused",0,56,NA
"99","Don't know",0,56,NA
".","Missing",10414,10470,NA
