"MCQ230A.Code.or.Value","MCQ230A.Value.Description","MCQ230A.Count","MCQ230A.Cumulative","MCQ230A.Skip.to.Item"
"10","Bladder",10,10,NA
"11","Blood",1,11,NA
"12","Bone",5,16,NA
"13","Brain",0,16,NA
"14","Breast",63,79,NA
"15","Cervix (cervical)",20,99,NA
"16","Colon",28,127,NA
"17","Esophagus (esophageal)",2,129,NA
"18","Gallbladder",0,129,NA
"19","Kidney",6,135,NA
"20","Larynx/ windpipe",3,138,NA
"21","Leukemia",4,142,NA
"22","Liver",1,143,NA
"23","Lung",10,153,NA
"24","Lymphoma/Hodgkin's disease",4,157,NA
"25","Melanoma",25,182,NA
"26","Mouth/tongue/lip",5,187,NA
"27","Nervous system",0,187,NA
"28","Ovary (ovarian)",18,205,NA
"29","Pancreas (pancreatic)",0,205,NA
"30","Prostate",73,278,NA
"31","Rectum (rectal)",3,281,NA
"32","Skin (non-melanoma)",35,316,NA
"33","Skin (don't know what kind)",25,341,NA
"34","Soft tissue (muscle or fat)",2,343,NA
"35","Stomach",5,348,NA
"36","Testis (testicular)",2,350,NA
"37","Thyroid",3,353,NA
"38","Uterus (uterine)",17,370,NA
"39","Other",13,383,NA
"66","More than 3 kinds",0,383,NA
"77","Refused",0,383,NA
"99","Don't know",3,386,NA
".","Missing",9107,9493,NA
