"DR1FS.Code.or.Value","DR1FS.Value.Description","DR1FS.Count","DR1FS.Cumulative","DR1FS.Skip.to.Item"
"1","Store",107421,107421,NA
"2","Restaurant with waiter/waitress",8694,116115,NA
"3","Restaurant fast food/pizza",10410,126525,NA
"4","Bar/tavern/lounge",338,126863,NA
"5","Restaurant no additional information",24,126887,NA
"6","Cafeteria not at school",1018,127905,NA
"7","Cafeteria at school",3302,131207,NA
"8","Child care center",609,131816,NA
"9","Family/adult day care center",227,132043,NA
"10","Soup kitchen/shelter/food pantry",44,132087,NA
"11","Meals on Wheels",101,132188,NA
"12","Community food program - other",244,132432,NA
"13","Community program no additional information",10,132442,NA
"14","Vending machine",370,132812,NA
"15","Common coffee pot or snack tray",582,133394,NA
"16","From someone else/gift",7661,141055,NA
"17","Mail order purchase",319,141374,NA
"18","Residential dining facility",88,141462,NA
"19","Grown or caught by you or someone you know",758,142220,NA
"20","Fish caught by you or someone you know",48,142268,NA
"24","Sport, recreation, or entertainment facility",805,143073,NA
"25","Street vendor, vending truck",549,143622,NA
"26","Fundraiser sales",151,143773,NA
"91","Other, specify",0,143773,NA
"99","Don't know",64,143837,NA
".","Missing",7154,150991,NA
