"OHX27CSC.Code.or.Value","OHX27CSC.Value.Description","OHX27CSC.Count","OHX27CSC.Cumulative","OHX27CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",145,145,NA
"0","Lingual surface caries",0,145,NA
"2","Facial surface caries",33,178,NA
"3","Mesial caries",10,188,NA
"4","Distal caries",20,208,NA
"5","Lingual surface restoration",5,213,NA
"7","Facial surface restoration",66,279,NA
"8","Mesial restoration",16,295,NA
"9","Distal restoration",35,330,NA
"< blank >","Missing",8517,8847,NA
