"OHX21CSC.Code.or.Value","OHX21CSC.Value.Description","OHX21CSC.Count","OHX21CSC.Cumulative","OHX21CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",654,654,NA
"0","Lingual surface caries",1,655,NA
"1","Occlusal/incisal caries",52,707,NA
"2","Facial surface caries",21,728,NA
"3","Mesial caries",6,734,NA
"4","Distal caries",49,783,NA
"5","Lingual surface restoration",1,784,NA
"6","Occlusal/incisal restoration",266,1050,NA
"7","Facial surface restoration",41,1091,NA
"8","Mesial restoration",0,1091,NA
"9","Distal restoration",7,1098,NA
"< blank >","Missing",7749,8847,NA
