"OHX12CSC.Code.or.Value","OHX12CSC.Value.Description","OHX12CSC.Count","OHX12CSC.Cumulative","OHX12CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #12","Value was recorded",733,733,NA
"0","Lingual AMALGAM restoration",0,733,NA
"1","Occlusal AMALGAM restoration",113,846,NA
"2","Facial AMALGAM restoration",1,847,NA
"3","Mesial AMALGAM restoration",1,848,NA
"4","Distal AMALGAM restoration",5,853,NA
"5","Lingual OTHER restoration",0,853,NA
"6","Occlusal OTHER restoration",161,1014,NA
"7","Facial OTHER restoration",4,1018,NA
"8","Mesial OTHER restoration",1,1019,NA
"9","Distal OTHER restoration",3,1022,NA
"-1","Crown (non-specific full-coverage restoration)",448,1470,NA
"-4","Lingual caries",1,1471,NA
"-5","Occlusal caries",13,1484,NA
"-6","Facial caries",6,1490,NA
"-7","Mesial caries",8,1498,NA
"-8","Distal caries",33,1531,NA
"< blank >","Missing",7634,9165,NA
