"OSQ100d.Code.or.Value","OSQ100d.Value.Description","OSQ100d.Count","OSQ100d.Cumulative","OSQ100d.Skip.to.Item"
"10","HEAD/FACE",0,0,NA
"11","UPPER ARM (HUMERUS)",0,0,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",0,0,NA
"13","ELBOW",0,0,NA
"14","HAND",0,0,NA
"15","FINGERS",2,2,NA
"16","SHOULDER",0,2,NA
"17","COLLAR BONE",1,3,NA
"18","RIBS (EITHER SIDE)",2,5,NA
"19","PELVIS (NOT HIP)",0,5,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,5,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",0,5,NA
"22","KNEE (PATELLA)",0,5,NA
"23","ANKLE",1,6,NA
"24","HEEL",0,6,NA
"25","FOOT",0,6,NA
"26","TOES",0,6,NA
"27","OTHER (DO NOT SPECIFY)",2,8,NA
"77","Refused",0,8,NA
"99","Don't know",0,8,NA
".","Missing",3807,3815,NA
