"OHX07CTC.Code.or.Value","OHX07CTC.Value.Description","OHX07CTC.Count","OHX07CTC.Cumulative","OHX07CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",26,26,NA
"D","Sound primary tooth",1070,1096,NA
"E","Missing due to dental disease",158,1254,NA
"F","Permanent tooth with a restored surface condition",527,1781,NA
"J","Permanent root tip is present but no restorative replacement is present",47,1828,NA
"K","Primary tooth with a dental carious surface condition",25,1853,NA
"M","Missing due to other causes",32,1885,NA
"P","Missing due to dental disease but replaced by a removable restoration",659,2544,NA
"Q","Missing due to other causes but replaced by a removable restoration",52,2596,NA
"R","Missing due to dental disease but replaced by a fixed restoration",78,2674,NA
"S","Sound permanent tooth",5039,7713,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7713,NA
"U","Unerupted",124,7837,NA
"X","Missing due to other causes but replaced by a fixed restoration",13,7850,NA
"Y","Tooth present, condition cannot be assessed",120,7970,NA
"Z","Permanent tooth with a dental carious surface condition",130,8100,NA
"< blank >","Missing",266,8366,NA
