"OHX28CTC.Code.or.Value","OHX28CTC.Value.Description","OHX28CTC.Count","OHX28CTC.Cumulative","OHX28CTC.Skip.to.Item"
"D","Sound primary tooth",1471,1471,NA
"E","Missing due to dental disease",189,1660,NA
"J","Permanent root tip is present but no restorative replacement is present",63,1723,NA
"K","Primary tooth with surface condition (s)",383,2106,NA
"M","Missing due to other causes",257,2363,NA
"P","Missing due to dental disease, but replaced by a removable restoration",416,2779,NA
"Q","Missing due to other causes, but replaced by a removable restoration",20,2799,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",23,2822,NA
"S","Sound permanent tooth",5045,7867,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7868,NA
"U","Unerupted",139,8007,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,8007,NA
"Y","Tooth present, condition cannot be assessed",48,8055,NA
"Z","Permanent tooth with surface condition (s)",910,8965,NA
"< blank >","Missing",457,9422,NA
