"OHX03CTC.Code.or.Value","OHX03CTC.Value.Description","OHX03CTC.Count","OHX03CTC.Cumulative","OHX03CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",561,561,NA
"F","Permanent tooth with a restored surface condition",2548,3109,NA
"J","Permanent root tip is present but no restorative replacement is present",69,3178,NA
"K","Primary tooth with a dental carious surface condition",0,3178,NA
"M","Missing due to other causes",6,3184,NA
"P","Missing due to dental disease but replaced by a removable restoration",662,3846,NA
"Q","Missing due to other causes but replaced by a removable restoration",27,3873,NA
"R","Missing due to dental disease but replaced by a fixed restoration",67,3940,NA
"S","Sound permanent tooth",3496,7436,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7436,NA
"U","Unerupted",1209,8645,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8645,NA
"Y","Tooth present, condition cannot be assessed",9,8654,NA
"Z","Permanent tooth with a dental carious surface condition",204,8858,NA
"< blank >","Missing",307,9165,NA
