"FFQ0039.Code.or.Value","FFQ0039.Value.Description","FFQ0039.Count","FFQ0039.Cumulative","FFQ0039.Skip.to.Item"
1,"never",1236,1236,NA
2,"1-6 times per year",450,1686,NA
3,"7-11 times per year",327,2013,NA
4,"1 time per month",293,2306,NA
5,"2-3 times per month",747,3053,NA
6,"1 time per week",522,3575,NA
7,"2 times per week",707,4282,NA
8,"3-4 times per week",968,5250,NA
9,"5-6 times per week",539,5789,NA
10,"1 time per day",408,6197,NA
11,"2 or more times per day",142,6339,NA
88,"Blank",104,6443,NA
99,"Error",29,6472,NA
