"OHX07CTC.Code.or.Value","OHX07CTC.Value.Description","OHX07CTC.Count","OHX07CTC.Cumulative","OHX07CTC.Skip.to.Item"
"D","Sound primary tooth",1361,1361,NA
"E","Missing due to dental disease",167,1528,NA
"J","Permanent root tip is present but no restorative replacement is present",61,1589,NA
"K","Primary tooth with surface condition (s)",66,1655,NA
"M","Missing due to other causes",32,1687,NA
"P","Missing due to dental disease but replaced by a removable restoration",628,2315,NA
"Q","Missing due to other causes but replaced by a removable restoration",7,2322,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",62,2384,NA
"S","Sound permanent tooth",5076,7460,NA
"T","Permanent root tip is present but a restorative replacement is present",2,7462,NA
"U","Unerupted",133,7595,NA
"X","Missing due to other causes, but replaced but replaced by a fixed restoration",23,7618,NA
"Y","Tooth present, condition cannot be assessed",189,7807,NA
"Z","Permanent tooth with surface condition (s)",634,8441,NA
"< blank >","Missing",515,8956,NA
