"OHX24CTC.Code.or.Value","OHX24CTC.Value.Description","OHX24CTC.Count","OHX24CTC.Cumulative","OHX24CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",1,1,NA
"D","Sound primary tooth",1129,1130,NA
"E","Missing due to dental disease",118,1248,NA
"F","Permanent tooth with a restored surface condition",66,1314,NA
"J","Permanent root tip is present but no restorative replacement is present",13,1327,NA
"K","Primary tooth with a dental carious surface condition",1,1328,NA
"M","Missing due to other causes",13,1341,NA
"P","Missing due to dental disease but replaced by a removable restoration",413,1754,NA
"Q","Missing due to other causes but replaced by a removable restoration",22,1776,NA
"R","Missing due to dental disease but replaced by a fixed restoration",41,1817,NA
"S","Sound permanent tooth",6963,8780,NA
"T","Permanent root tip is present but a restorative replacement is present",2,8782,NA
"U","Unerupted",11,8793,NA
"X","Missing due to other causes but replaced by a fixed restoration",3,8796,NA
"Y","Tooth present, condition cannot be assessed",27,8823,NA
"Z","Permanent tooth with a dental carious surface condition",35,8858,NA
"< blank >","Missing",307,9165,NA
