"FFQ0016.Code.or.Value","FFQ0016.Value.Description","FFQ0016.Count","FFQ0016.Cumulative","FFQ0016.Skip.to.Item"
1,"never",501,501,NA
2,"1-6 times per year",1022,1523,NA
3,"7-11 times per year",612,2135,NA
4,"1 time per month",536,2671,NA
5,"2-3 times per month",1073,3744,NA
6,"1 time per week",544,4288,NA
7,"2 times per week",823,5111,NA
8,"3-4 times per week",704,5815,NA
9,"5-6 times per week",215,6030,NA
10,"1 time per day",254,6284,NA
11,"2 or more times per day",97,6381,NA
88,"Blank",60,6441,NA
99,"Error",31,6472,NA
