"OHX13RSC.Code.or.Value","OHX13RSC.Value.Description","OHX13RSC.Count","OHX13RSC.Cumulative","OHX13RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #13","Value was recorded",6,6,NA
"0","lingual AMALGAM restoration",0,6,NA
"1","occlusal AMALGAM restoration",3,9,NA
"2","facial AMALGAM restoration",0,9,NA
"3","mesial AMALGAM restoration",1,10,NA
"4","distal AMALGAM restoration",1,11,NA
"5","lingual OTHER restoration",0,11,NA
"6","occlusal OTHER restoration",2,13,NA
"7","facial OTHER restoration",0,13,NA
"8","mesial OTHER restoration",0,13,NA
"9","distal OTHER restoration",0,13,NA
"-1","Crown (non-specific full-coverage restoration)",1,14,NA
"< blank >","Missing",9151,9165,NA
