"DR1FS.Code.or.Value","DR1FS.Value.Description","DR1FS.Count","DR1FS.Cumulative","DR1FS.Skip.to.Item"
"1","Store - grocery/supermarket",75530,75530,NA
"2","Restaurant with waiter/waitress",7110,82640,NA
"3","Restaurant fast food/pizza",9609,92249,NA
"4","Bar/tavern/lounge",260,92509,NA
"5","Restaurant no additional information",12,92521,NA
"6","Cafeteria NOT in a K-12 school",578,93099,NA
"7","Cafeteria in a K-12 school",2914,96013,NA
"8","Child/Adult care center",595,96608,NA
"9","Child/Adult home care",71,96679,NA
"10","Soup kitchen/shelter/food pantry",58,96737,NA
"11","Meals on Wheels",87,96824,NA
"12","Community food program - other",385,97209,NA
"13","Community program no additional information",4,97213,NA
"14","Vending machine",269,97482,NA
"15","Common coffee pot or snack tray",378,97860,NA
"16","From someone else/gift",7546,105406,NA
"17","Mail order purchase",342,105748,NA
"18","Residential dining facility",51,105799,NA
"19","Grown or caught by you or someone you know",682,106481,NA
"20","Fish caught by you or someone you know",37,106518,NA
"24","Sport, recreation, or entertainment facility",673,107191,NA
"25","Street vendor, vending truck",322,107513,NA
"26","Fundraiser sales",93,107606,NA
"27","Store - convenience type",4660,112266,NA
"28","Store - no additional info",168,112434,NA
"91","Other, specify",0,112434,NA
"99","Don't know",414,112848,NA
".","Missing",8633,121481,NA
