"OHX04CTC.Code.or.Value","OHX04CTC.Value.Description","OHX04CTC.Count","OHX04CTC.Cumulative","OHX04CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",346,346,NA
"D","Sound primary tooth",1458,1804,NA
"E","Missing due to dental disease",413,2217,NA
"F","Permanent tooth with a restored surface condition",1399,3616,NA
"J","Permanent root tip is present but no restorative replacement is present",91,3707,NA
"K","Primary tooth with a dental carious surface condition",68,3775,NA
"M","Missing due to other causes",9,3784,NA
"P","Missing due to dental disease but replaced by a removable restoration",638,4422,NA
"Q","Missing due to other causes but replaced by a removable restoration",29,4451,NA
"R","Missing due to dental disease but replaced by a fixed restoration",84,4535,NA
"S","Sound permanent tooth",3855,8390,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8391,NA
"U","Unerupted",352,8743,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,8744,NA
"Y","Tooth present, condition cannot be assessed",7,8751,NA
"Z","Permanent tooth with a dental carious surface condition",107,8858,NA
"< blank >","Missing",307,9165,NA
