"OHX12CSC.Code.or.Value","OHX12CSC.Value.Description","OHX12CSC.Count","OHX12CSC.Cumulative","OHX12CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #12","Value was recorded",1107,1107,NA
"0","Lingual surface caries",0,1107,NA
"1","Occlusal/incisal caries",31,1138,NA
"2","Facial surface caries",15,1153,NA
"3","Mesial caries",3,1156,NA
"4","Distal caries",18,1174,NA
"5","Lingual surface restoration",1,1175,NA
"6","Occlusal/incisal restoration",299,1474,NA
"7","Facial surface restoration",24,1498,NA
"8","Mesial restoration",0,1498,NA
"9","Distal restoration",2,1500,NA
"< blank >","Missing",7456,8956,NA
