"OHX05CTC.Code.or.Value","OHX05CTC.Value.Description","OHX05CTC.Count","OHX05CTC.Cumulative","OHX05CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",263,263,NA
"D","Sound primary tooth",1596,1859,NA
"E","Missing due to dental disease",300,2159,NA
"F","Permanent tooth with a restored surface condition",1160,3319,NA
"J","Permanent root tip is present but no restorative replacement is present",95,3414,NA
"K","Primary tooth with a dental carious surface condition",50,3464,NA
"M","Missing due to other causes",304,3768,NA
"P","Missing due to dental disease but replaced by a removable restoration",641,4409,NA
"Q","Missing due to other causes but replaced by a removable restoration",28,4437,NA
"R","Missing due to dental disease but replaced by a fixed restoration",54,4491,NA
"S","Sound permanent tooth",4093,8584,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8584,NA
"U","Unerupted",124,8708,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8708,NA
"Y","Tooth present, condition cannot be assessed",10,8718,NA
"Z","Permanent tooth with a dental carious surface condition",140,8858,NA
"< blank >","Missing",307,9165,NA
