"FFQ0019.Code.or.Value","FFQ0019.Value.Description","FFQ0019.Count","FFQ0019.Cumulative","FFQ0019.Skip.to.Item"
1,"never",1757,1757,NA
2,"1-6 times per year",1861,3618,NA
3,"7-11 times per year",618,4236,NA
4,"1 time per month",654,4890,NA
5,"2-3 times per month",735,5625,NA
6,"1 time per week",281,5906,NA
7,"2 times per week",217,6123,NA
8,"3-4 times per week",135,6258,NA
9,"5-6 times per week",44,6302,NA
10,"1 time per day",38,6340,NA
11,"2 or more times per day",33,6373,NA
88,"Blank",72,6445,NA
99,"Error",27,6472,NA
