"DR2_030Z.Code.or.Value","DR2_030Z.Value.Description","DR2_030Z.Count","DR2_030Z.Cumulative","DR2_030Z.Skip.to.Item"
"1","Breakfast",22439,22439,NA
"2","Lunch",27804,50243,NA
"3","Dinner",27483,77726,NA
"4","Supper",4967,82693,NA
"5","Brunch",513,83206,NA
"6","Snack",18787,101993,NA
"7","Drink",3969,105962,NA
"8","Infant feeding",2587,108549,NA
"9","Extended consumption",453,109002,NA
"10","Desayano (breakfast)",2040,111042,NA
"11","Almuerzo (breakfast)",2073,113115,NA
"12","Comida (lunch)",2785,115900,NA
"13","Merienda (snack)",611,116511,NA
"14","Cena (dinner)",2509,119020,NA
"15","Entre comida (snack)",474,119494,NA
"16","Botana (snack)",421,119915,NA
"17","Bocadillo (snack)",411,120326,NA
"18","Tentempie (snack)",47,120373,NA
"19","Bebida (drink)",483,120856,NA
"91","Other",15,120871,NA
"99","Don't know",0,120871,NA
".","Missing",0,120871,NA
