"OHX10CSC.Code.or.Value","OHX10CSC.Value.Description","OHX10CSC.Count","OHX10CSC.Cumulative","OHX10CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #10","Value was recorded",182,182,NA
"0","Lingual AMALGAM restoration",28,210,NA
"1","Occlusal AMALGAM restoration",0,210,NA
"2","Facial AMALGAM restoration",0,210,NA
"3","Mesial AMALGAM restoration",0,210,NA
"4","Distal AMALGAM restoration",0,210,NA
"5","Lingual OTHER restoration",21,231,NA
"6","Occlusal OTHER restoration",0,231,NA
"7","Facial OTHER restoration",14,245,NA
"8","Mesial OTHER restoration",177,422,NA
"9","Distal OTHER restoration",51,473,NA
"-1","Crown (non-specific full-coverage restoration)",177,650,NA
"-4","Lingual caries",5,655,NA
"-5","Occlusal caries",0,655,NA
"-6","Facial caries",23,678,NA
"-7","Mesial caries",45,723,NA
"-8","Distal caries",25,748,NA
"< blank >","Missing",7618,8366,NA
