"OHX15CTC.Code.or.Value","OHX15CTC.Value.Description","OHX15CTC.Count","OHX15CTC.Cumulative","OHX15CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",726,726,NA
"F","Permanent tooth with a restored surface condition",1905,2631,NA
"J","Permanent root tip is present but no restorative replacement is present",77,2708,NA
"K","Primary tooth with a dental carious surface condition",0,2708,NA
"M","Missing due to other causes",10,2718,NA
"P","Missing due to dental disease but replaced by a removable restoration",623,3341,NA
"Q","Missing due to other causes but replaced by a removable restoration",24,3365,NA
"R","Missing due to dental disease but replaced by a fixed restoration",8,3373,NA
"S","Sound permanent tooth",2834,6207,NA
"T","Permanent root tip is present but a restorative replacement is present",0,6207,NA
"U","Unerupted",2407,8614,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8614,NA
"Y","Tooth present, condition cannot be assessed",10,8624,NA
"Z","Permanent tooth with a dental carious surface condition",234,8858,NA
"< blank >","Missing",307,9165,NA
