"OHX04RSC.Code.or.Value","OHX04RSC.Value.Description","OHX04RSC.Count","OHX04RSC.Cumulative","OHX04RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #4","Value was recorded",7,7,NA
"0","lingual AMALGAM restoration",2,9,NA
"1","occlusal AMALGAM restoration",3,12,NA
"2","facial AMALGAM restoration",0,12,NA
"3","mesial AMALGAM restoration",1,13,NA
"4","distal AMALGAM restoration",1,14,NA
"5","lingual OTHER restoration",0,14,NA
"6","occlusal OTHER restoration",5,19,NA
"7","facial OTHER restoration",0,19,NA
"8","mesial OTHER restoration",0,19,NA
"9","distal OTHER restoration",0,19,NA
"-1","Crown (non-specific full-coverage restoration)",1,20,NA
"< blank >","Missing",8346,8366,NA
