"FFQ0024B.Code.or.Value","FFQ0024B.Value.Description","FFQ0024B.Count","FFQ0024B.Cumulative","FFQ0024B.Skip.to.Item"
1,"never",1043,1043,NA
2,"1-6 times per year",1755,2798,NA
3,"7-11 times per year",635,3433,NA
4,"1 time per month",592,4025,NA
5,"2-3 times per month",615,4640,NA
6,"1 time per week",233,4873,NA
7,"2 times per week",207,5080,NA
8,"3-4 times per week",108,5188,NA
9,"5-6 times per week",44,5232,NA
10,"1 time per day",42,5274,NA
11,"2 or more times per day",50,5324,NA
88,"Blank",1127,6451,NA
99,"Error",21,6472,NA
