"OHX13CSC.Code.or.Value","OHX13CSC.Value.Description","OHX13CSC.Count","OHX13CSC.Cumulative","OHX13CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #13","Value was recorded",1362,1362,NA
"0","Lingual surface caries",10,1372,NA
"1","Occlusal/incisal caries",51,1423,NA
"2","Facial surface caries",8,1431,NA
"3","Mesial caries",9,1440,NA
"4","Distal caries",13,1453,NA
"5","Lingual surface restoration",1,1454,NA
"6","Occlusal/incisal restoration",333,1787,NA
"7","Facial surface restoration",15,1802,NA
"8","Mesial restoration",2,1804,NA
"9","Distal restoration",2,1806,NA
"< blank >","Missing",7150,8956,NA
