"FFQ0118.Code.or.Value","FFQ0118.Value.Description","FFQ0118.Count","FFQ0118.Cumulative","FFQ0118.Skip.to.Item"
1,"never",2558,2558,NA
2,"1-6 times per year",1826,4384,NA
3,"7-11 times per year",564,4948,NA
4,"1 time per month",472,5420,NA
5,"2-3 times per month",268,5688,NA
6,"1 time per week",104,5792,NA
7,"2 times per week",79,5871,NA
8,"3-4 times per week",27,5898,NA
9,"5-6 times per week",14,5912,NA
10,"1 time per day",14,5926,NA
11,"2 or more times per day",7,5933,NA
88,"Blank",74,6007,NA
99,"Error",6,6013,NA
