"OHQ030.Code.or.Value","OHQ030.Value.Description","OHQ030.Count","OHQ030.Cumulative","OHQ030.Skip.to.Item"
"1","6 months or less",4632,4632,""
"2","More than 6 months, but not more than 1 year ago",1510,6142,""
"3","More than 1 year, but not more than 2 years ago",980,7122,""
"4","More than 2 years, but not more than 3 years ago",592,7714,""
"5","More than 3 years, but not more than 5 years ago",480,8194,""
"6","More than 5 years ago",913,9107,""
"7","Never have been",650,9757,"OHQ550"
"77","Refused",2,9759,""
"99","Don't know",9,9768,""
".","Missing",2,9770,""
