"OCD241.Code.or.Value","OCD241.Value.Description","OCD241.Count","OCD241.Cumulative","OCD241.Skip.to.Item"
"1","Management Occupations",262,262,NA
"2","Business, Financial Operations Occupations",136,398,NA
"3","Computer, Mathematical Occupations",103,501,NA
"4","Architecture, Engineering Occupations",36,537,NA
"5","Life, Physical, Social Science Occupations",57,594,NA
"6","Community, Social Services Occupations",57,651,NA
"7","Legal Occupations",37,688,NA
"8","Education, Training, Library Occupations",144,832,NA
"9","Arts, Design, Entertainment, Sports, Media Occupations",64,896,NA
"10","Healthcare Practitioner, Technical Occupations",140,1036,NA
"11","Healthcare Support Occupations",87,1123,NA
"12","Protective Service Occupations",76,1199,NA
"13","Food Preparation, Serving Occupations",215,1414,NA
"14","Building & Grounds Cleaning, Maintenance Occupations",179,1593,NA
"15","Personal Care, Service Occupations",166,1759,NA
"16","Sales & Related Occupations",295,2054,NA
"17","Office, Administrative Support Occupations",336,2390,NA
"18","Farming, Fishing, Forestry Occupations",34,2424,NA
"19","Construction, Extraction Occupations",167,2591,NA
"20","Installation, Maintenance, Repair Occupations",80,2671,NA
"21","Production Occupations",179,2850,NA
"22","Transportation, Material Moving Occupations",194,3044,NA
"23","Armed Forces",4,3048,NA
".","Missing",3127,6175,NA
