"FFQ0023A.Code.or.Value","FFQ0023A.Value.Description","FFQ0023A.Count","FFQ0023A.Cumulative","FFQ0023A.Skip.to.Item"
1,"never",117,117,NA
2,"1-6 times per season",1483,1600,NA
3,"7-11 times per season",808,2408,NA
4,"1 time per month",360,2768,NA
5,"2-3 times per month",768,3536,NA
6,"1 time per week",455,3991,NA
7,"2 times per week",523,4514,NA
8,"3-4 times per week",498,5012,NA
9,"5-6 times per week",144,5156,NA
10,"1 time per day",99,5255,NA
11,"2 or more times per day",81,5336,NA
88,"Blank",1100,6436,NA
99,"Error",36,6472,NA
