"FFQ0033.Code.or.Value","FFQ0033.Value.Description","FFQ0033.Count","FFQ0033.Cumulative","FFQ0033.Skip.to.Item"
1,"never",791,791,NA
2,"1-6 times per year",601,1392,NA
3,"7-11 times per year",533,1925,NA
4,"1 time per month",526,2451,NA
5,"2-3 times per month",1247,3698,NA
6,"1 time per week",791,4489,NA
7,"2 times per week",806,5295,NA
8,"3-4 times per week",456,5751,NA
9,"5-6 times per week",84,5835,NA
10,"1 time per day",42,5877,NA
11,"2 or more times per day",11,5888,NA
88,"Blank",104,5992,NA
99,"Error",21,6013,NA
