"DR2FS.Code.or.Value","DR2FS.Value.Description","DR2FS.Count","DR2FS.Cumulative","DR2FS.Skip.to.Item"
"1","Store",92379,92379,NA
"2","Restaurant with waiter/waitress",5958,98337,NA
"3","Restaurant fast food/pizza",8701,107038,NA
"4","Bar/tavern/lounge",313,107351,NA
"5","Restaurant no additional information",73,107424,NA
"6","Cafeteria not at school",1008,108432,NA
"7","Cafeteria at school",4967,113399,NA
"8","Child care center",249,113648,NA
"9","Family/adult day care center",195,113843,NA
"10","Soup kitchen/shelter/food pantry",12,113855,NA
"11","Meals on Wheels",82,113937,NA
"12","Community food program - other",349,114286,NA
"13","Community program no add. information",0,114286,NA
"14","Vending machine",441,114727,NA
"15","Common coffee pot or snack tray",467,115194,NA
"16","From someone else/gift",2859,118053,NA
"17","Mail order purchase",100,118153,NA
"18","Residential dining facility",242,118395,NA
"19","Grown or caught by you or someone you know",581,118976,NA
"20","Fish caught by you or someone you know",21,118997,NA
"24","Sport, recreation, or entertainment facility",265,119262,NA
"25","Street vendor, vending truck",309,119571,NA
"91","Other, specify",43,119614,NA
"99","Don't know",39,119653,NA
".","Missing",1218,120871,NA
