"OHX20CSC.Code.or.Value","OHX20CSC.Value.Description","OHX20CSC.Count","OHX20CSC.Cumulative","OHX20CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #20","Value was recorded",1309,1309,NA
"0","Lingual surface caries",0,1309,NA
"1","Occlusal/incisal caries",102,1411,NA
"2","Facial surface caries",19,1430,NA
"3","Mesial caries",10,1440,NA
"4","Distal caries",7,1447,NA
"5","Lingual surface restoration",0,1447,NA
"6","Occlusal/incisal restoration",560,2007,NA
"7","Facial surface restoration",23,2030,NA
"8","Mesial restoration",1,2031,NA
"9","Distal restoration",1,2032,NA
"< blank >","Missing",7390,9422,NA
