"OHX28CSC.Code.or.Value","OHX28CSC.Value.Description","OHX28CSC.Count","OHX28CSC.Cumulative","OHX28CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #28","Value was recorded",372,372,NA
"0","Lingual AMALGAM restoration",0,372,NA
"1","Occlusal AMALGAM restoration",137,509,NA
"2","Facial AMALGAM restoration",9,518,NA
"3","Mesial AMALGAM restoration",0,518,NA
"4","Distal AMALGAM restoration",2,520,NA
"5","Lingual OTHER restoration",0,520,NA
"6","Occlusal OTHER restoration",85,605,NA
"7","Facial OTHER restoration",20,625,NA
"8","Mesial OTHER restoration",2,627,NA
"9","Distal OTHER restoration",5,632,NA
"-1","Crown (non-specific full-coverage restoration)",288,920,NA
"-4","Lingual caries",0,920,NA
"-5","Occlusal caries",10,930,NA
"-6","Facial caries",23,953,NA
"-7","Mesial caries",8,961,NA
"-8","Distal caries",26,987,NA
"< blank >","Missing",7379,8366,NA
