"FFQ0056.Code.or.Value","FFQ0056.Value.Description","FFQ0056.Count","FFQ0056.Cumulative","FFQ0056.Skip.to.Item"
1,"never",1143,1143,NA
2,"1-6 times per year",973,2116,NA
3,"7-11 times per year",736,2852,NA
4,"1 time per month",660,3512,NA
5,"2-3 times per month",1042,4554,NA
6,"1 time per week",497,5051,NA
7,"2 times per week",497,5548,NA
8,"3-4 times per week",403,5951,NA
9,"5-6 times per week",150,6101,NA
10,"1 time per day",132,6233,NA
11,"2 or more times per day",69,6302,NA
88,"Blank",136,6438,NA
99,"Error",34,6472,NA
