"OHX08CTC.Code.or.Value","OHX08CTC.Value.Description","OHX08CTC.Count","OHX08CTC.Cumulative","OHX08CTC.Skip.to.Item"
"D","Sound primary tooth",1164,1164,NA
"E","Missing due to dental disease",154,1318,NA
"J","Permanent root tip is present but no restorative replacement is present",41,1359,NA
"K","Primary tooth with surface condition (s)",87,1446,NA
"M","Missing due to other causes",13,1459,NA
"P","Missing  due to dental disease but replaced by a removable restoration",657,2116,NA
"Q","Missing due to other causes but replaced by a removable restoration",11,2127,NA
"R","Missing due to dental disease but replaced by a fixed restoration",74,2201,NA
"S","Sound permanent tooth",5174,7375,NA
"T","Permanent root tip is present but a restorative replacement is present",2,7377,NA
"U","Unerupted",75,7452,NA
"X","Missing due to other causes, but replaced by a fixed restoration",30,7482,NA
"Y","Tooth present, condition cannot be assessed",224,7706,NA
"Z","Permanent tooth with surface condition (s)",735,8441,NA
"< blank >","Missing",515,8956,NA
