"OHX31CSC.Code.or.Value","OHX31CSC.Value.Description","OHX31CSC.Count","OHX31CSC.Cumulative","OHX31CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #31","Value was recorded",1450,1450,NA
"0","Lingual surface caries",2,1452,NA
"1","Occlusal/incisal caries",224,1676,NA
"2","Facial surface caries",45,1721,NA
"3","Mesial caries",1,1722,NA
"4","Distal caries",0,1722,NA
"5","Lingual surface restoration",1,1723,NA
"6","Occlusal/incisal restoration",937,2660,NA
"7","Facial surface restoration",75,2735,NA
"8","Mesial restoration",0,2735,NA
"9","Distal restoration",0,2735,NA
"< blank >","Missing",6687,9422,NA
