"OHX05CSC.Code.or.Value","OHX05CSC.Value.Description","OHX05CSC.Count","OHX05CSC.Cumulative","OHX05CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #5","Value was recorded",769,769,NA
"0","Lingual AMALGAM restoration",2,771,NA
"1","Occlusal AMALGAM restoration",125,896,NA
"2","Facial AMALGAM restoration",1,897,NA
"3","Mesial AMALGAM restoration",1,898,NA
"4","Distal AMALGAM restoration",2,900,NA
"5","Lingual OTHER restoration",0,900,NA
"6","Occlusal OTHER restoration",141,1041,NA
"7","Facial OTHER restoration",4,1045,NA
"8","Mesial OTHER restoration",1,1046,NA
"9","Distal OTHER restoration",2,1048,NA
"-1","Crown (non-specific full-coverage restoration)",466,1514,NA
"-4","Lingual caries",1,1515,NA
"-5","Occlusal caries",21,1536,NA
"-6","Facial caries",11,1547,NA
"-7","Mesial caries",9,1556,NA
"-8","Distal caries",57,1613,NA
"< blank >","Missing",7552,9165,NA
