"FFQ0072.Code.or.Value","FFQ0072.Value.Description","FFQ0072.Count","FFQ0072.Cumulative","FFQ0072.Skip.to.Item"
1,"never",1989,1989,"FFQ0073"
2,"1-6 times per year",1019,3008,""
3,"7-11 times per year",532,3540,""
4,"1 time per month",544,4084,""
5,"2-3 times per month",757,4841,""
6,"1 time per week",396,5237,""
7,"2 times per week",359,5596,""
8,"3-4 times per week",195,5791,""
9,"5-6 times per week",62,5853,""
10,"1 time per day",41,5894,""
11,"2 or more times per day",14,5908,""
88,"Blank",90,5998,""
99,"Error",15,6013,""
