"FFQ0086.Code.or.Value","FFQ0086.Value.Description","FFQ0086.Count","FFQ0086.Cumulative","FFQ0086.Skip.to.Item"
1,"never",1017,1017,NA
2,"1-6 times per year",1175,2192,NA
3,"7-11 times per year",875,3067,NA
4,"1 time per month",892,3959,NA
5,"2-3 times per month",1106,5065,NA
6,"1 time per week",503,5568,NA
7,"2 times per week",248,5816,NA
8,"3-4 times per week",82,5898,NA
9,"5-6 times per week",29,5927,NA
10,"1 time per day",26,5953,NA
11,"2 or more times per day",5,5958,NA
88,"Blank",48,6006,NA
99,"Error",7,6013,NA
