subject,predicate,value
IAO:0000112,rdfs:label,example of usage
IAO:0000114,rdfs:label,has curation status
IAO:0000115,rdfs:label,definition
IAO:0000116,rdfs:label,editor note
IAO:0000117,rdfs:label,term editor
IAO:0000232,rdfs:label,curator note
IAO:0000412,rdfs:label,imported from
IAO:0000425,rdfs:label,expand assertion to
IAO:0100001,rdfs:label,term replaced by
RO:0002161,rdfs:label,never_in_taxon
RO:0002174,rdfs:label,dubious_for_taxon
obo:UBPROP_0000001,rdfs:label,external_definition
obo:UBPROP_0000002,rdfs:label,axiom_lost_from_external_ontology
obo:UBPROP_0000003,rdfs:label,homology_notes
obo:UBPROP_0000007,rdfs:label,has_relational_adjective
obo:UBPROP_0000008,rdfs:label,taxon_notes
obo:UBPROP_0000010,rdfs:label,structure_notes
obo:UBPROP_0000012,rdfs:label,external_ontology_notes
obo:UBPROP_0000100,rdfs:label,is count of
obo:UBPROP_0000101,rdfs:label,preceding element is
obo:UBPROP_0000111,rdfs:label,rhombomere number
obo:UBPROP_0000202,rdfs:label,fma_set_term
obo:chebi#BRAND_NAME,rdfs:label,BRAND NAME
obo:chebi#INN,rdfs:label,INN
obo:chebi#IUPAC_NAME,rdfs:label,IUPAC NAME
dce:creator,rdfs:label,creator
EFO:0008147,rdfs:label,obsolete_gwas_trait
<http://www.ebi.ac.uk/efo/added_for_HCA>,rdfs:label,added_for_HCA
<http://www.ebi.ac.uk/efo/definition>,rdfs:label,definition
<http://www.ebi.ac.uk/efo/definition_citation>,rdfs:label,definition_citation
oio:SubsetProperty,rdfs:label,subset_property
oio:SynonymTypeProperty,rdfs:label,synonym_type_property
oio:created_by,rdfs:label,created_by
oio:hasAlternativeId,rdfs:label,has_alternative_id
oio:hasBroadSynonym,rdfs:label,has_broad_synonym
oio:hasDbXref,rdfs:label,database_cross_reference
oio:hasExactSynonym,rdfs:label,has_exact_synonym
oio:hasNarrowSynonym,rdfs:label,has_narrow_synonym
oio:hasOBOFormatVersion,rdfs:label,has_obo_format_version
oio:hasOBONamespace,rdfs:label,has_obo_namespace
oio:hasRelatedSynonym,rdfs:label,has_related_synonym
oio:hasScope,rdfs:label,has_scope
oio:hasSynonymType,rdfs:label,has_synonym_type
oio:inSubset,rdfs:label,in_subset
oio:shorthand,rdfs:label,shorthand
rdfs:seeAlso,rdfs:label,see also
skos:prefLabel,rdfs:label,preferred label
<http://purl.obolibrary.org/obo#has_role>,rdfs:label,has_role
BFO:0000050,rdfs:label,part_of
BFO:0000050,rdfs:label,part of
BFO:0000050,rdfs:label,part of
BFO:0000051,rdfs:label,has_part
BFO:0000051,rdfs:label,has part
BFO:0000054,rdfs:label,realized in
BFO:0000055,rdfs:label,realizes
BFO:0000066,rdfs:label,occurs in
HANCESTRO:0301,rdfs:label,hasAncestryStatus
HANCESTRO:0329,rdfs:label,hasDemonym
HANCESTRO:0330,rdfs:label,isDemonymOf
IAO:0000136,rdfs:label,is_about
OBI:0000293,rdfs:label,has_specified_input
OBI:0000293,rdfs:label,has_input
OBI:0000295,rdfs:label,is_specified_input_of
OBI:0000295,rdfs:label,is_input_of
OBI:0000299,rdfs:label,has_specified_output
OBI:0000299,rdfs:label,has_output
OBI:0000300,rdfs:label,obsolete_is_realized_by
OBI:0000308,rdfs:label,obsolete_realizes
RO:0000052,rdfs:label,inheres_in
RO:0000052,rdfs:label,inheres in
RO:0000052,rdfs:label,inheres in
RO:0000052,rdfs:label,characteristic_of
RO:0000052,rdfs:label,characteristic of
RO:0000053,rdfs:label,bearer_of
RO:0000056,rdfs:label,participates_in
RO:0000057,rdfs:label,has_participant
RO:0000081,rdfs:label,role_of
RO:0000086,rdfs:label,has_quality
RO:0001000,rdfs:label,derives_from
RO:0001001,rdfs:label,derives_into
RO:0001015,rdfs:label,location_of
RO:0001018,rdfs:label,contained_in
RO:0001019,rdfs:label,contains
RO:0001025,rdfs:label,located_in
RO:0002104,rdfs:label,has_plasma_membrane_part
RO:0002160,rdfs:label,only_in_taxon
RO:0002160,rdfs:label,only in taxon
RO:0002180,rdfs:label,has component
RO:0002200,rdfs:label,has phenotype
RO:0002201,rdfs:label,phenotype of
RO:0002202,rdfs:label,develops_from
RO:0002211,rdfs:label,regulates
RO:0002215,rdfs:label,capable of
RO:0002314,rdfs:label,inheres in part of
RO:0002473,rdfs:label,composed primarily of
RO:0002502,rdfs:label,depends on
RO:0002503,rdfs:label,towards
RO:0002573,rdfs:label,has modifier
RO:0003000,rdfs:label,produces
RO:0004022,rdfs:label,disease arises from feature
RO:0004027,rdfs:label,disease has inflammation site
RO:0004029,rdfs:label,disease has feature
obo:bto#develops_from,rdfs:label,derives from/develops from
obo:bto#related_to,rdfs:label,related to
obo:mondo#disease_causes_feature,rdfs:label,disease causes feature
obo:mondo#disease_has_major_feature,rdfs:label,disease has major feature
obo:mondo#disease_shares_features_of,rdfs:label,disease shares features of
obo:mondo#part_of_progression_of_disease,rdfs:label,part of progression of disease
obo:mondo#predisposes_towards,rdfs:label,predisposes towards
EFO:0000741,rdfs:label,has_tumor_type
EFO:0000742,rdfs:label,is_tumor_of
EFO:0000784,rdfs:label,has_disease_location
EFO:0000785,rdfs:label,is_location_of_disease
EFO:0000794,rdfs:label,is_broader_than
EFO:0000824,rdfs:label,relationship
EFO:0001697,rdfs:label,is_unit_of
EFO:0001698,rdfs:label,has_unit
EFO:0006351,rdfs:label,has_about_it
<http://www.ebi.ac.uk/efo/has_flag>,rdfs:label,has_flag
<http://www.ebi.ac.uk/efo/is_executed_in>,rdfs:label,is_executed_in
<http://purl.org/oban/frequency_of_association>,rdfs:label,frequency_of_association
EFO:0005515,rdfs:label,has_p-value
EFO:0005516,rdfs:label,has_t-statistic
<http://dbpedia.org/resource/China>,rdfs:label,China
<http://dbpedia.org/resource/China>,rdfs:label,China
<http://dbpedia.org/resource/India>,rdfs:label,India
<http://dbpedia.org/resource/India>,rdfs:label,India
<http://dbpedia.org/resource/Iran>,rdfs:label,Iran
<http://dbpedia.org/resource/Japan>,rdfs:label,Japan
<http://dbpedia.org/resource/Japan>,rdfs:label,Japan
<http://dbpedia.org/resource/Philippines>,rdfs:label,Philippines
