"FFQ0092.Code.or.Value","FFQ0092.Value.Description","FFQ0092.Count","FFQ0092.Cumulative","FFQ0092.Skip.to.Item"
1,"never",5004,5004,"FFQ0093"
2,"1-6 times per year",452,5456,""
3,"7-11 times per year",156,5612,""
4,"1 time per month",132,5744,""
5,"2-3 times per month",99,5843,""
6,"1 time per week",43,5886,""
7,"2 times per week",19,5905,""
8,"3-4 times per week",6,5911,""
9,"5-6 times per week",1,5912,""
10,"1 time per day",3,5915,""
11,"2 or more times per day",4,5919,""
88,"Blank",93,6012,""
99,"Error",1,6013,""
