"FFQ0093.Code.or.Value","FFQ0093.Value.Description","FFQ0093.Count","FFQ0093.Cumulative","FFQ0093.Skip.to.Item"
1,"never",5178,5178,NA
2,"1-6 times per year",417,5595,NA
3,"7-11 times per year",123,5718,NA
4,"1 time per month",110,5828,NA
5,"2-3 times per month",38,5866,NA
6,"1 time per week",19,5885,NA
7,"2 times per week",11,5896,NA
8,"3-4 times per week",9,5905,NA
9,"5-6 times per week",4,5909,NA
10,"1 time per day",10,5919,NA
11,"2 or more times per day",2,5921,NA
88,"Blank",89,6010,NA
99,"Error",3,6013,NA
