"FFQ0131.Code.or.Value","FFQ0131.Value.Description","FFQ0131.Count","FFQ0131.Cumulative","FFQ0131.Skip.to.Item"
1,"never",2600,2600,NA
2,"1-6 times per year",872,3472,NA
3,"7-11 times per year",382,3854,NA
4,"1 time per month",296,4150,NA
5,"2-3 times per month",491,4641,NA
6,"1 time per week",293,4934,NA
7,"2 times per week",236,5170,NA
8,"3-4 times per week",258,5428,NA
9,"5-6 times per week",115,5543,NA
10,"1 time per day",178,5721,NA
11,"2 or more times per day",70,5791,NA
88,"Blank",216,6007,NA
99,"Error",6,6013,NA
