"FFQ0050.Code.or.Value","FFQ0050.Value.Description","FFQ0050.Count","FFQ0050.Cumulative","FFQ0050.Skip.to.Item"
1,"never",1785,1785,NA
2,"1-6 times per year",995,2780,NA
3,"7-11 times per year",435,3215,NA
4,"1 time per month",484,3699,NA
5,"2-3 times per month",821,4520,NA
6,"1 time per week",395,4915,NA
7,"2 times per week",376,5291,NA
8,"3-4 times per week",274,5565,NA
9,"5-6 times per week",142,5707,NA
10,"1 time per day",131,5838,NA
11,"2 or more times per day",73,5911,NA
88,"Blank",88,5999,NA
99,"Error",14,6013,NA
