"FFQ0076.Code.or.Value","FFQ0076.Value.Description","FFQ0076.Count","FFQ0076.Cumulative","FFQ0076.Skip.to.Item"
1,"never",709,709,NA
2,"1-6 times per year",930,1639,NA
3,"7-11 times per year",845,2484,NA
4,"1 time per month",846,3330,NA
5,"2-3 times per month",1388,4718,NA
6,"1 time per week",588,5306,NA
7,"2 times per week",407,5713,NA
8,"3-4 times per week",134,5847,NA
9,"5-6 times per week",34,5881,NA
10,"1 time per day",16,5897,NA
11,"2 or more times per day",10,5907,NA
88,"Blank",85,5992,NA
99,"Error",21,6013,NA
