"DSD122U.Code.or.Value","DSD122U.Value.Description","DSD122U.Count","DSD122U.Cumulative","DSD122U.Skip.to.Item"
"1","TABLETS, CAPSULES, PILLS, CAPLETS, SOFTGELS, GEL CAPS, VEGICAPS, CHEWABLE TABLETS",8122,8122,NA
"2","Droppers",11,8133,NA
"3","Drops",28,8161,NA
"5","Injections/shots",0,8161,NA
"6","LOZENGES/COUGH DROPS",5,8166,NA
"7","Milliliters",143,8309,NA
"11","Tablespoons",40,8349,NA
"12","Teaspoons",104,8453,NA
"13","Wafers",5,8458,NA
"15","Cans",1,8459,NA
"16","Grams",10,8469,NA
"17","Dots",0,8469,NA
"18","Cups",0,8469,NA
"19","Sprays/Squirts",9,8478,NA
"20","CHEWS/GUMMIES",1185,9663,NA
"21","Scoop",77,9740,NA
"22","CC",0,9740,NA
"23","Capful",12,9752,NA
"27","Ounces",14,9766,NA
"28","Packages/Packets",79,9845,NA
"29","Vial",2,9847,NA
"30","Gumball",0,9847,NA
"31","Strips",0,9847,NA
"32","Bottle",0,9847,NA
"77","Refused",0,9847,NA
"99","Don't Know",5,9852,NA
".","Missing",132,9984,NA
