"FFQ0015.Code.or.Value","FFQ0015.Value.Description","FFQ0015.Count","FFQ0015.Cumulative","FFQ0015.Skip.to.Item"
1,"never",2086,2086,NA
2,"1-6 times per year",1383,3469,NA
3,"7-11 times per year",474,3943,NA
4,"1 time per month",487,4430,NA
5,"2-3 times per month",678,5108,NA
6,"1 time per week",270,5378,NA
7,"2 times per week",283,5661,NA
8,"3-4 times per week",148,5809,NA
9,"5-6 times per week",42,5851,NA
10,"1 time per day",59,5910,NA
11,"2 or more times per day",16,5926,NA
88,"Blank",76,6002,NA
99,"Error",11,6013,NA
