"FFQ0020.Code.or.Value","FFQ0020.Value.Description","FFQ0020.Count","FFQ0020.Cumulative","FFQ0020.Skip.to.Item"
1,"never",2507,2507,NA
2,"1-6 times per year",1321,3828,NA
3,"7-11 times per year",429,4257,NA
4,"1 time per month",460,4717,NA
5,"2-3 times per month",462,5179,NA
6,"1 time per week",242,5421,NA
7,"2 times per week",213,5634,NA
8,"3-4 times per week",166,5800,NA
9,"5-6 times per week",72,5872,NA
10,"1 time per day",68,5940,NA
11,"2 or more times per day",15,5955,NA
88,"Blank",47,6002,NA
99,"Error",11,6013,NA
