"FFQ0035A.Code.or.Value","FFQ0035A.Value.Description","FFQ0035A.Count","FFQ0035A.Cumulative","FFQ0035A.Skip.to.Item"
1,"never",65,65,NA
2,"1-6 times per season",902,967,NA
3,"7-11 times per season",646,1613,NA
4,"1 time per month",389,2002,NA
5,"2-3 times per month",1147,3149,NA
6,"1 time per week",800,3949,NA
7,"2 times per week",900,4849,NA
8,"3-4 times per week",494,5343,NA
9,"5-6 times per week",109,5452,NA
10,"1 time per day",54,5506,NA
11,"2 or more times per day",22,5528,NA
88,"Blank",462,5990,NA
99,"Error",23,6013,NA
