"FFQ0016.Code.or.Value","FFQ0016.Value.Description","FFQ0016.Count","FFQ0016.Cumulative","FFQ0016.Skip.to.Item"
1,"never",468,468,NA
2,"1-6 times per year",909,1377,NA
3,"7-11 times per year",524,1901,NA
4,"1 time per month",482,2383,NA
5,"2-3 times per month",1063,3446,NA
6,"1 time per week",565,4011,NA
7,"2 times per week",774,4785,NA
8,"3-4 times per week",655,5440,NA
9,"5-6 times per week",209,5649,NA
10,"1 time per day",211,5860,NA
11,"2 or more times per day",86,5946,NA
88,"Blank",49,5995,NA
99,"Error",18,6013,NA
