"DR1FS.Code.or.Value","DR1FS.Value.Description","DR1FS.Count","DR1FS.Cumulative","DR1FS.Skip.to.Item"
"1","Store - grocery/supermarket",69415,69415,NA
"2","Restaurant with waiter/waitress",6895,76310,NA
"3","Restaurant fast food/pizza",10644,86954,NA
"4","Bar/tavern/lounge",269,87223,NA
"5","Restaurant no additional information",29,87252,NA
"6","Cafeteria NOT in a K-12 school",952,88204,NA
"7","Cafeteria in a K-12 school",1981,90185,NA
"8","Child/Adult care center",449,90634,NA
"9","Child/Adult home care",109,90743,NA
"10","Soup kitchen/shelter/food pantry",147,90890,NA
"11","Meals on Wheels",64,90954,NA
"12","Community food program - other",227,91181,NA
"13","Community program no additional information",0,91181,NA
"14","Vending machine",260,91441,NA
"15","Common coffee pot or snack tray",271,91712,NA
"16","From someone else/gift",6468,98180,NA
"17","Mail order purchase",516,98696,NA
"18","Residential dining facility",53,98749,NA
"19","Grown or caught by you or someone you know",604,99353,NA
"20","Fish caught by you or someone you know",5,99358,NA
"24","Sport, recreation, or entertainment facility",415,99773,NA
"25","Street vendor, vending truck",341,100114,NA
"26","Fundraiser sales",63,100177,NA
"27","Store - convenience type",4230,104407,NA
"28","Store - no additional info",472,104879,NA
"91","Other, specify",0,104879,NA
"99","Don't know",345,105224,NA
".","Missing",7459,112683,NA
