"FFQ0069.Code.or.Value","FFQ0069.Value.Description","FFQ0069.Count","FFQ0069.Cumulative","FFQ0069.Skip.to.Item"
1,"never",1965,1965,NA
2,"1-6 times per year",1403,3368,NA
3,"7-11 times per year",641,4009,NA
4,"1 time per month",596,4605,NA
5,"2-3 times per month",700,5305,NA
6,"1 time per week",289,5594,NA
7,"2 times per week",204,5798,NA
8,"3-4 times per week",89,5887,NA
9,"5-6 times per week",22,5909,NA
10,"1 time per day",20,5929,NA
11,"2 or more times per day",4,5933,NA
88,"Blank",62,5995,NA
99,"Error",18,6013,NA
