"FFQ0113.Code.or.Value","FFQ0113.Value.Description","FFQ0113.Count","FFQ0113.Cumulative","FFQ0113.Skip.to.Item"
1,"never",1847,1847,NA
2,"1-6 times per year",1537,3384,NA
3,"7-11 times per year",756,4140,NA
4,"1 time per month",595,4735,NA
5,"2-3 times per month",611,5346,NA
6,"1 time per week",260,5606,NA
7,"2 times per week",183,5789,NA
8,"3-4 times per week",96,5885,NA
9,"5-6 times per week",25,5910,NA
10,"1 time per day",29,5939,NA
11,"2 or more times per day",10,5949,NA
88,"Blank",58,6007,NA
99,"Error",6,6013,NA
