"FFQ0017.Code.or.Value","FFQ0017.Value.Description","FFQ0017.Count","FFQ0017.Cumulative","FFQ0017.Skip.to.Item"
1,"never",1837,1837,NA
2,"1-6 times per year",1417,3254,NA
3,"7-11 times per year",533,3787,NA
4,"1 time per month",521,4308,NA
5,"2-3 times per month",665,4973,NA
6,"1 time per week",331,5304,NA
7,"2 times per week",371,5675,NA
8,"3-4 times per week",171,5846,NA
9,"5-6 times per week",43,5889,NA
10,"1 time per day",40,5929,NA
11,"2 or more times per day",19,5948,NA
88,"Blank",61,6009,NA
99,"Error",4,6013,NA
